PET_PROFILE_ID	CUSTOMER_ID	PET_NAME	PET_TYPE	PET_BREED	PET_BREED_SIZE_TYPE	GENDER	WEIGHT_TYPE	SIZE_TYPE	BIRTHDAY	LIFE_STAGE	ADOPTED	ADOPTION_DATE	STATUS	STATUS_REASON	TIME_CREATED	TIME_UPDATED	WEIGHT	ALLERGIES	PHOTO_COUNT	PET_BREED_ID	PET_TYPE_ID	PET_NEW	FIRST_BIRTHDAY
97456751	6119453	Bowie	Dog	Golden Retriever	L	MALE		UNK	2010-10-26		False		Inactive	Deceased	2022-05-19 03:48:47.620	2022-10-19 07:02:08.696	85.0	Dairy	0	439	1	False	2011-10-26
64963428	11901709	Winston	Dog	English Bulldog	M	FMLE		M	2019-10-26	P			Active		2020-07-01 03:40:38.597	2021-06-16 04:36:10.601	50.0		0	390	1	False	2020-10-26
97955083	8008701	Casey	Dog	Coonhound	L	MALE		L	2015-11-01		True	2016-11-01	Active		2022-06-01 14:45:27.533	2022-06-01 14:45:27.533	70.0	Chicken, Beef	0	413	1	False	2016-11-01
71669054	10208489	Roxi	Dog	UNKNOWN	UNK	FMLE		L	2019-12-03	A	False		Active		2020-10-31 17:06:54.146	2021-06-16 04:36:10.601	62.0	Soy, Dairy	0	-1	1	False	2020-12-03
82245672	28260188	Lucy	Dog	Chihuahua	XS	FMLE		SM	2019-11-11	A	False		Active		2021-05-27 13:42:27.885	2025-01-03 12:42:45.081	14.0		0	850	1	False	2020-11-11
4308735	4429776	Miss Kitty	Cat	Russian Blue		FMLE			2013-03-03	A	True	2019-01-01	Active		2019-03-03 06:03:07.886	2021-06-15 18:19:51.774	5.0		0	623	2	False	2014-03-03
85385558	28260188	Bokeh	Dog	Mixed / Unknown		UNKN		UNK			False		Active		2021-08-05 17:37:57.316	2021-08-05 17:37:57.316			0	586	1	False	
85387906	30197998	Lila	Cat	Siamese Cat		FMLE		UNK	2021-05-16	K	False		Active		2021-08-05 18:45:23.842	2021-08-05 18:45:23.842	3.0		1	627	2	False	2022-05-16
69320075	28260188	Mina	Cat	American- Shorthair		FMLE		UNK	2020-05-01	A	False		Deleted	Other	2020-09-14 08:21:29.831	2024-06-16 02:59:48.459	6.0	Dairy, Pork, Lamb	0	590	2	False	2021-05-01
94414840	28260188	Willow	Cat	Other		FMLE		UNK	2021-07-26	K	False		Active		2022-03-09 03:13:44.027	2022-03-09 03:13:57.772	6.0	Pork	0	740	2	False	2022-07-26
107783878	910659	Houston	Dog	Mixed / Unknown		MALE		XL	2022-12-19	A	False		Active	Other	2023-02-06 15:33:38.439	2024-10-27 15:53:09.736	85.0	Wheat, Egg, Beef	1	586	1	False	2023-12-19
89547438	10208489	Piper	Cat	Other		UNKN		UNK	2017-09-20		False		Active		2021-11-15 08:41:30.629	2021-11-15 08:41:30.629	10.0		0	740	2	False	2018-09-20
79784561	11901709	CJ	Cat	American- Shorthair		MALE		UNK	2006-05-01	S	False		Active		2021-04-04 11:03:10.364	2021-10-14 08:32:17.123	25.0		1	590	2	False	2007-05-01
87716195	28222307	Piper	Dog	Border Terrier	SM	FMLE		L	2016-06-16	A	False		Active		2021-09-30 08:38:22.180	2025-02-10 04:53:33.455	60.0	Other, Rabbit, Soy	0	378	1	False	2017-06-16
85403601	28260188	Ellie	Dog	Labrador Retriever	L	FMLE		L	2012-04-04	S	False		Active		2021-08-06 08:01:20.841	2021-08-06 08:01:45.509	59.0		0	461	1	False	2013-04-04
