PET_PROFILE_ID	CUSTOMER_ID	PET_NAME	PET_TYPE	PET_BREED	PET_BREED_SIZE_TYPE	GENDER	WEIGHT_TYPE	SIZE_TYPE	BIRTHDAY	LIFE_STAGE	ADOPTED	ADOPTION_DATE	STATUS	STATUS_REASON	TIME_CREATED	TIME_UPDATED	WEIGHT	ALLERGY_COUNT	PHOTO_COUNT	PET_BREED_ID	PET_TYPE_ID	PET_NEW	FIRST_BIRTHDAY
73383297	37252555	Halea	Cat	Other		UNKN		UNK					Active		2020-12-02 05:39:10.665	2020-12-02 05:39:22.533	0.0	0	0	740	2	False	
104881770	905756298	Jackson	Dog	Labrador Retriever	L	MALE		L					Active		2022-11-20 08:14:00.160	2022-11-20 08:14:00.160		0	0	461	1	False	
107215348	65872676	Harley	Dog	Mixed / Unknown		UNKN		UNK					Active		2023-01-22 07:17:07.081	2023-01-22 07:17:07.081		0	0	586	1	False	
131658666	25038216	Coco	Dog	Mixed / Unknown		FMLE		SM	2021-07-15	A	False		Active		2024-10-28 11:55:48.299	2024-11-25 11:56:19.983	13.0	0	0	586	1	False	2022-07-15
115656427	2274335	Macy Strong	Dog	Mixed / Unknown		UNKN		UNK			False		Active		2023-08-28 13:40:25.558	2023-08-28 13:40:25.558		0	0	586	1	False	
95687237	28294498	Mr. Jones Strong	Cat	Other		MALE		UNK	2009-07-11	S	True	2009-09-09	Active		2022-04-11 06:43:32.826	2023-06-20 09:55:54.321	10.0	0	0	740	2	False	2010-07-11
100280142	67490875	Macy	Dog	Golden Retriever	L	FMLE		M	2022-03-30	A	True	2022-05-29	Active		2022-07-20 12:44:12.922	2023-05-12 04:55:02.776	50.0	0	0	439	1	False	2023-03-30
125674177	17845269	Balto	Dog	Mixed / Unknown		UNKN		UNK			False		Active		2024-05-31 13:06:38.814	2024-05-31 13:06:38.814		0	0	586	1	False	
103093134	90830979	Tuna	Cat	Other		UNKN		G			False		Active		2022-10-02 07:52:55.935	2022-10-02 07:52:55.935		0	0	740	2	False	
97364863	17279671	Marvel	Horse	Paso Fino		FMLE		G	2019-02-16		True	2019-02-16	Active		2022-05-16 16:40:37.130	2022-05-16 16:40:37.130	950.0	0	0	994	7	False	2020-02-16
82304049	883333380	Ringo	Dog	Goldendoodle	SM	MALE		L	2020-08-15	P	False		Active		2021-05-29 04:36:17.901	2022-08-31 06:24:37.606	74.0	0	0	440	1	False	2021-08-15
134389236	133693788	Faye	Horse	Arabian		FMLE		UNK	2002-04-01		False		Active		2025-01-03 07:51:17.937	2025-01-03 07:51:17.937	800.0	0	0	708	7	False	2003-04-01
72831715	6183857	chloe	Cat	Other		FMLE		UNK	2007-01-01	S	False		Active		2020-11-24 07:24:48.837	2021-06-16 03:22:42.373	20.0	0	0	740	2	False	2008-01-01
72831783	186634002	glory	Horse	Arabian		FMLE		UNK	2001-04-11		False		Active		2020-11-24 07:26:09.166	2021-06-16 03:22:35.307	900.0	0	0	708	7	False	2002-04-11
72831544	73886673	chessy	Cat	Himalayan		MALE		UNK	2006-06-20	S	False		Active		2020-11-24 07:21:50.029	2021-06-16 03:22:28.342	7.0	0	0	609	2	False	2007-06-20
72831620	12493265	Bubba	Cat	Exotic		MALE		UNK	2009-05-09	A	False		Active		2020-11-24 07:23:07.856	2021-06-16 03:22:52.963	25.0	0	0	607	2	False	2010-05-09
869850	151275533	Ramona	Cat	UNKNOWN	UNK	UNKN							Active		2018-07-29 14:49:43.705	2018-07-29 14:49:43.705	0.0	0	0	-1	2	False	
65815109	8260002	Jackson Ford Jensen	Dog	Golden Retriever	L	MALE		L	2008-07-15	S	True	2020-03-06	Inactive	Deceased	2020-07-15 05:30:05.699	2021-06-16 04:36:10.601	81.0	0	0	439	1	False	2009-07-15
80915635	108749652	Kennedy Louise	Dog	Mixed / Unknown		FMLE		L	2012-03-20	S	True	2021-03-15	Active		2021-04-27 20:59:11.888	2024-07-22 18:48:31.869	58.0	0	2	586	1	False	2013-03-20
63162858	279191387	Bindi Sue	Dog	Labrador Retriever	L	FMLE		L	2014-07-12	S	True	2020-01-25	Active		2020-06-02 00:30:38.867	2024-09-12 13:19:58.845	55.0	0	2	461	1	False	2015-07-12
47783933	39146658	Claytonk	Dog	UNKNOWN	UNK	UNKN		L					Deleted		2019-09-13 00:26:17.937	2019-09-27 08:41:51.481		0	0	-1	1	False	
5176945	504002	Ranger 	Dog	Mixed / Unknown		MALE		L	2008-04-23	S	False		Inactive	Deceased	2019-04-23 08:42:19.840	2025-03-27 08:53:18.298	65.0	0	1	586	1	False	2009-04-23
37836841	18473990	Reid	Dog	Labrador Retriever	L	MALE		XL	2019-03-08	P	False		Inactive	Deceased	2019-05-23 05:38:46.387	2021-06-16 04:36:10.601	82.0	0	0	461	1	False	2020-03-08
37801929	8359843	Ginger	Dog	UNKNOWN	UNK	UNKN		L					Deleted	Other	2019-05-21 14:12:51.197	2020-07-02 04:50:25.555		0	0	-1	1	False	
37836824	11108258	Chloe	Dog	UNKNOWN	UNK	UNKN		L					Deleted	Other	2019-05-23 05:38:12.385	2020-07-02 04:51:04.733		0	0	-1	1	False	
48478512	77337362	Guster	Dog	UNKNOWN	UNK	UNKN		UNK					Deleted		2019-09-27 08:44:26.199	2020-09-24 02:50:57.981		0	0	-1	1	False	
5177036	189108603	Sally Jane 	Dog	UNKNOWN	UNK	UNKN		L					Deleted	Other	2019-04-23 08:46:52.616	2020-07-02 04:49:51.984		0	0	-1	1	False	
47783983	54240401	Clayton	Dog	UNKNOWN	UNK	UNKN		L					Deleted		2019-09-13 00:27:54.730	2019-09-27 08:41:22.230		0	0	-1	1	False	
137552638	17268222	Parker	Dog	Mixed / Unknown		MALE		L	2016-02-23	S	False		Active		2025-03-24 12:03:53.581	2025-03-24 12:03:53.581	58.0	0	0	586	1	False	2017-02-23
132160597	6974547	Elsbeth	Dog	Golden Retriever	L	FMLE		L	2023-05-13		False		Active		2024-11-10 03:03:38.890	2024-11-10 03:03:38.890		0	0	439	1	False	2024-05-13
63162951	2978030	Maggie Lynn	Dog	Golden Retriever	L	FMLE		L	2015-06-12	S	True	2020-01-29	Active		2020-06-02 00:32:51.467	2025-03-24 12:24:51.980	59.0	0	2	439	1	False	2016-06-12
115507072	43449539	Lilo	Cat	Other		UNKN		UNK			False		Active		2023-08-23 19:05:19.461	2023-08-23 19:05:19.461		0	0	740	2	False	
85588212	3325651	Seska Jane	Dog	Labrador Retriever	L	FMLE		L	2011-06-20	S	True	2021-05-25	Inactive	Deceased	2021-08-10 08:36:37.145	2024-07-22 18:49:19.086	59.0	0	1	461	1	False	2012-06-20
85588366	67401343	Bernadette Rose	Dog	Labrador Retriever	L	FMLE		XL	2011-06-20	S	True	2021-06-05	Inactive	Deceased	2021-08-10 08:39:09.701	2024-07-12 11:52:37.039	77.0	0	1	461	1	False	2012-06-20
1931460	26844292	Boston	Dog	Mixed / Unknown		MALE		XS	2008-03-03	S	False		Active		2018-09-30 15:22:10.531	2025-04-29 06:37:04.690	10.0	0	3	586	1	False	2009-03-03
1931480	28515127	Layla	Dog	Mixed / Unknown		FMLE		SM	2012-01-01	S	False		Inactive	Deceased	2018-09-30 15:24:27.658	2024-03-04 18:17:23.320	16.0	0	2	586	1	False	2013-01-01
123236780	910235369	Elvis	Dog	Goldendoodle	SM	MALE		L	2022-07-25	A	True	2024-02-29	Active		2024-03-25 21:54:58.405	2025-04-08 18:00:07.821	52.0	0	2	440	1	False	2023-07-25
81749923	7728425	Charlie	Cat	Other		MALE		UNK	2001-04-01	S	False		Inactive	Deceased	2021-05-16 08:48:54.159	2024-03-04 18:16:15.908	6.0	0	2	740	2	False	2002-04-01
81750800	6997780	Lucy	Cat	Other		FMLE		UNK	2016-08-01	A	False		Active		2021-05-16 09:08:20.819	2024-09-26 14:40:15.354	13.0	0	3	740	2	False	2017-08-01
58023661	9567741	Chloe	Dog	Cavalier King Charles Spaniel	SM	FMLE		SM	2012-07-15	S	False		Active		2020-03-23 05:57:40.270	2024-09-05 06:23:09.412	13.0	0	0	397	1	False	2013-07-15
107182957	29335162	Harry	Dog	Mixed / Unknown		UNKN		UNK			False		Active		2023-01-21 07:16:55.094	2023-01-21 07:16:55.094		0	0	586	1	False	
141024241	895072796	Sammy	Cat	Other		UNKN		UNK			False		Active		2025-06-20 05:31:48.897	2025-06-20 05:31:48.897		0	0	740	2	False	
141024238	3499417	Rufus	Cat	Other		UNKN		UNK			False		Active		2025-06-20 05:31:40.121	2025-06-20 05:31:40.121		0	0	740	2	False	
87871670	14583735	Jasper	Dog	Mixed / Unknown		UNKN		SM			False		Deleted	Deceased	2021-10-04 08:20:53.977	2024-11-08 11:10:41.487	25.0	0	0	586	1	False	
87871682	158950698	Ruffus	Dog	Mixed / Unknown		UNKN		UNK			False		Active		2021-10-04 08:21:15.358	2021-10-04 08:21:15.358	25.0	0	0	586	1	False	
69220500	896468138	Minka II	Cat	Other		MALE			2019-11-12	K	True	2020-03-01	Active		2020-09-12 10:35:05.549	2020-09-12 10:35:05.549	0.0	0	0	740	2	False	2020-11-12
82978767	9515026	Rosco	Dog	Mixed / Unknown		MALE		M	2020-12-04		False		Active		2021-06-13 06:54:21.998	2021-06-13 06:54:21.998	40.0	0	0	586	1	False	2021-12-04
1586210	7467651	Sir Pounce a Lot	Cat	Other		MALE		UNK	2013-09-08	A	True	2014-06-01	Active		2018-09-08 15:23:24.711	2024-10-09 07:19:18.302	8.0	0	0	740	2	False	2014-09-08
1586202	92201354	Target	Cat	Other		MALE			2007-09-08	A	True	2010-08-01	Active		2018-09-08 15:22:28.598	2021-06-15 17:36:11.228	15.0	0	0	740	2	False	2008-09-08
1586190	10967912	Ruby Rue	Dog	Cavalier King Charles Spaniel	SM	FMLE		SM	2011-01-01	A			Active		2018-09-08 15:21:19.914	2021-06-15 17:39:24.256	18.0	0	0	397	1	False	2012-01-01
1586248	197995622	Lady Lyra	Cat	Other		FMLE			2018-05-05	K			Active		2018-09-08 15:26:39.735	2021-06-15 17:38:18.898	3.0	0	0	740	2	False	2019-05-05
4930879	13178276	Petey	Dog	Shih Tzu	XS	MALE		SM	2007-11-27	S	False		Active		2019-04-08 22:02:50.610	2024-11-09 13:40:53.404	17.0	0	0	525	1	False	2008-11-27
100659313	284711148	Lulu Lovebug Litzelman 	Cat	Turkish Angora		FMLE		UNK	2014-11-30	A	True	2015-12-05	Active		2022-07-30 07:50:05.244	2022-07-30 08:10:12.600	12.0	0	2	634	2	False	2015-11-30
100659551	108749652	Wilford 'Willi Manilli' Litzelman 	Cat	American- Shorthair		MALE		UNK	2022-03-30	K	True	2022-07-20	Active		2022-07-30 07:55:17.282	2022-07-30 08:08:05.565	3.0	0	2	590	2	False	2023-03-30
100659486	21300705	Marley Rooney Litzelman 	Cat	American- Shorthair		MALE		UNK	2014-07-30	A	True	2017-07-15	Active		2022-07-30 07:53:41.819	2022-07-30 08:08:46.169	14.0	0	2	590	2	False	2015-07-30
100659410	85741288	Blaze Lickster Litzelman 	Cat	American- Shorthair		MALE		UNK	2016-07-30	A	True	2016-07-16	Active		2022-07-30 07:52:21.492	2022-07-30 08:09:19.806	17.0	0	2	590	2	False	2017-07-30
138682646	922331682	Marley	Dog	Mixed / Unknown		FMLE		L	2018-04-24	A	False		Active		2025-04-23 09:56:34.266	2025-04-23 09:56:34.266	56.0	0	0	586	1	False	2019-04-24
128965950	3343830	Bevo	Dog	Mixed / Unknown		UNKN		L			False		Active		2024-08-20 07:11:36.477	2024-08-20 13:08:09.474	64.0	0	0	586	1	False	
104567425	14664771	Mochi	Dog	Shiba Inu	SM	FMLE		SM	2022-04-16	P	False		Active		2022-11-11 15:12:12.622	2022-11-11 15:12:12.622	16.0	0	0	524	1	False	2023-04-16
114651593	73919151	Cookie	Cat	Domestic		MALE		UNK	2022-07-18	A	False		Active		2023-07-31 18:10:19.414	2023-10-04 09:09:09.990	12.0	0	0	638	2	False	2023-07-18
114651510	14888187	Treyvon	Cat	Himalayan		MALE		UNK	2019-07-02	A	False		Active		2023-07-31 18:07:41.375	2023-07-31 18:08:17.687	9.0	0	0	609	2	False	2020-07-02
114651337	16742534	Kevin	Cat	Himalayan		MALE		UNK	2017-06-01	A	False		Active		2023-07-31 18:01:52.948	2023-07-31 18:03:57.103	15.0	0	0	609	2	False	2018-06-01
114651425	24003457	Marshall	Cat	Other		MALE		UNK	2019-07-02	A	False		Active		2023-07-31 18:04:48.892	2023-07-31 18:07:04.026	0.0	0	0	740	2	False	2020-07-02
114651543	1840172	Robert	Cat	Other		MALE		UNK	2022-07-18	K	False		Active		2023-07-31 18:08:46.469	2023-07-31 18:11:52.402	9.0	0	0	740	2	False	2023-07-18
84436050	160363529	Phoebe	Dog	Golden Retriever	L	FMLE		XL	2019-06-13		False		Active		2021-07-15 13:21:44.994	2021-07-15 13:21:44.994	88.0	0	0	439	1	False	2020-06-13
68636865	23362624	Zoey Chansley	Dog	Labrador Retriever	L	FMLE		L	2012-04-15	A	False		Active		2020-08-31 18:52:01.902	2021-09-15 03:55:19.593	84.0	0	0	461	1	False	2013-04-15
68636813	1918375	Leo Chansley	Dog	Labrador Retriever	L	MALE		L	2012-04-15	A			Active		2020-08-31 18:50:46.098	2021-06-16 04:36:10.601	92.0	0	0	461	1	False	2013-04-15
54167575	552457	Eleanor	Dog	Great Pyrenees	XL	FMLE		XL	2015-06-20	S	False		Inactive	Deceased	2020-01-13 02:38:32.993	2024-06-14 16:42:41.079	90.0	0	2	442	1	False	2016-06-20
54167873	4896104	Clyde	Dog	Mixed / Unknown		MALE		SM	2018-01-25	A	False		Active		2020-01-13 02:43:45.569	2024-02-23 14:02:26.384	20.0	0	2	586	1	False	2019-01-25
