CUSTOMER_KEY	CUSTOMER_ID	OPERATING_REVENUE_TRAILING_365	CUSTOMER_ORDER_FIRST_PLACED_DTTM	CUSTOMER_ADDRESS_ZIP	CUSTOMER_ADDRESS_CITY	CUSTOMER_ADDRESS_STATE
24612503152	72030138	63742.65384000000	2019-09-17 00:00:00.000	64503-1542	SAINT JOSEPH	MO
2763257	2172881	51017.35190000000	2014-08-11 00:00:00.000	45338-8764	LEWISBURG	OH
283250185	14348457	42892.26452000000	2017-02-21 05:00:00.000	65231-1012	AUXVASSE	MO
3215628	10967912	39607.92771000000	2017-04-12 00:00:00.000	33331-2607	FORT LAUDERDALE	FL
2139746	1851269	38048.17955000000	2014-06-06 00:00:00.000	30093-3943	Norcross	GA
3863625	3248799	38006.28766000000	2015-08-03 04:00:00.000	66617-1587	Topeka	KS
7760634	10763261	35157.43830000000	2016-10-26 00:00:00.000	11385-1043	RIDGEWOOD	NY
3063304	10702196	35043.03198000000	2016-10-11 00:00:00.000	45419-2921	Oakwood	OH
80141865469	918162661	33003.70006000000	2023-07-27 00:00:00.000	60477-6320	Tinley Park	IL
43612356491	145337682	31912.20213000000	2021-05-07 04:00:00.000	60654-7105	CHICAGO	IL
69204343906	904367094	31653.68702000000	2023-05-02 00:00:00.000	78757-1468	AUSTIN	TX
4087770	4056463	30635.69873000000	2015-05-27 00:00:00.000	90025-5734	Los Angeles	CA
20325751420	63791656	23941.17967000000	2019-06-09 04:00:00.000	88220	CARLSBAD	NM
55400089539	882005009	23459.21284000000	2022-03-12 00:00:00.000	54001	Amery	WI
480500322	16520913	22782.00211000000	2017-04-24 00:00:00.000	40445-8812	LIVINGSTON	KY
52934333833	204886726	22481.74525000000	2023-05-04 00:00:00.000	23462-1192	VIRGINIA BEACH	VA
45893630532	156460494	21926.11852000000	2021-07-26 04:00:00.000	07047-4517	North Bergen	NJ
1186503215	21401118	21541.67958000000	2017-08-29 00:00:00.000	11743-5510	HUNTINGTON	NY
6924774	1524452	20078.84754000000	2014-09-04 00:00:00.000	43311-2929	BELLEFONTAINE	OH
45419899614	153888379	19743.86542000000	2021-07-07 00:00:00.000	29653-9673	HODGES	SC
47223624126	163877004	19180.32531000000	2021-10-13 00:00:00.000	95204-3038	STOCKTON	CA
30708255323	90658254	17888.21114000000	2020-03-25 00:00:00.000	94952-1114	PETALUMA	CA
154907	8287983	17746.18589000000	2016-06-06 04:00:00.000	92058	Oceanside	CA
4238846	4654616	17710.39321000000	2015-08-09 00:00:00.000	33330-3021	Southwest Ranches	FL
8093495	4881533	17359.40576000000	2015-09-04 00:00:00.000	07470-3904	WAYNE	NJ
2027718	9755482	17290.71291000000	2016-08-23 00:00:00.000	34747-4679	Celebration	FL
7983107	3958694	17261.75303000000	2015-05-14 04:00:00.000	91387-2123	CANYON COUNTRY	CA
4099902	3577870	17192.38617000000	2015-03-23 00:00:00.000	11545-2007	GLEN HEAD	NY
4087608	4055340	17008.39879000000	2015-05-27 00:00:00.000	95121	San Jose	CA
1195500160	21457445	16963.17047000000	2020-07-16 04:00:00.000	91352-1144	SUN VALLEY	CA
25880750340	75593294	16729.37622000000	2019-11-02 00:00:00.000	33411-9080	Royal Palm Beach	FL
62952324080	267999380	16666.76301000000	2022-09-01 00:00:00.000	10128-6804	New York	NY
4991983	4996721	16666.65379000000	2015-09-18 00:00:00.000	12550	Newburgh	NY
8025754	4324592	16423.17800000000	2015-06-29 00:00:00.000	92262-6272	Palm Springs	CA
11288481	11564173	15843.05126000000	2016-11-16 00:00:00.000	70117-4416	NEW ORLEANS	LA
60766344098	264922434	15503.28906000000	2022-06-24 00:00:00.000	68022-2202	ELKHORN	NE
181252447	13178276	15488.91146000000	2017-01-15 00:00:00.000	98284	Sedro Woolley	WA
1336500231	22300334	15433.02903000000	2017-09-21 00:00:00.000	78736-7805	AUSTIN	TX
212021	8359843	15395.91375000000	2016-06-09 00:00:00.000	22942-6216	Gordonsville	VA
55739598878	882827426	15004.31294000000	2022-03-21 04:00:00.000	92011-1531	CARLSBAD	CA
1798750106	24398109	14992.77127000000	2017-11-24 00:00:00.000	19901-7708	DOVER	DE
53905337773	208411412	14940.57746000000	2022-02-08 05:00:00.000	71913-7404	HOT SPRINGS NATIONAL PARK	AR
6220891	859193	14825.13716000000	2013-10-29 00:00:00.000	46383-9726	VALPARAISO	IN
8783676	6280027	14620.93009000000	2016-01-15 00:00:00.000	17324-9718	GARDNERS	PA
8041292	4453079	14307.92606000000	2015-10-29 00:00:00.000	33547	Lithia	FL
818530	444956	14231.85661000000	2013-04-02 04:00:00.000	11427-2130	QUEENS VILLAGE	NY
24660250979	72181514	14217.39090000000	2019-11-22 00:00:00.000	33713-8146	SAINT PETERSBURG	FL
13443751383	54131214	14186.93306000000	2019-02-16 00:00:00.000	17543-7419	LITITZ	PA
1979641	1586214	13903.40575000000	2014-04-09 00:00:00.000	07960-3378	MORRISTOWN	NJ
4008522	3274210	13763.78979000000	2015-02-12 05:00:00.000	38242-5154	PARIS	TN
5880129	7012540	13728.22790000000	2016-03-12 00:00:00.000	60515-2623	Downers Grove	IL
512503373	16742534	13678.95446000000	2017-04-30 00:00:00.000	92657-1813	Newport Coast	CA
5854470	8812833	13643.67369000000	2018-04-16 00:00:00.000	30165-1744	Rome	GA
4816282	4424426	13446.42084000000	2015-07-12 00:00:00.000	91204	Glendale	CA
29907255834	87287883	13391.25073000000	2020-02-29 00:00:00.000	74011-4863	BROKEN ARROW	OK
18777750774	61479583	13235.48157000000	2019-05-14 04:00:00.000	32086-5326	SAINT AUGUSTINE	FL
14136750260	53519006	13198.96656000000	2019-02-28 00:00:00.000	11105	ASTORIA	NY
53320347038	206564586	13140.06929000000	2022-03-31 00:00:00.000	10128-6804	NEW YORK	NY
7846981	3086546	13054.92001000000	2015-01-13 00:00:00.000	58416-9432	Binford	ND
67791352604	275127417	12990.42810000000	2022-11-18 00:00:00.000	08759-2917	MANCHESTER TOWNSHIP	NJ
44376106865	148584512	12983.88808000000	2021-05-31 00:00:00.000	94553-6625	MARTINEZ	CA
1036113	833575	12961.89114000000	2013-10-24 00:00:00.000	90265	malibu	CA
28050250988	83273689	12909.57766000000	2020-01-30 00:00:00.000	91436-3907	ENCINO	CA
6220141	856745	12909.51102000000	2013-10-28 00:00:00.000	79108	Amarillo	TX
