PET_PROFILE_ID	CUSTOMER_ID	PET_NAME	PET_TYPE	PET_BREED	PET_BREED_SIZE_TYPE	GENDER	WEIGHT_TYPE	SIZE_TYPE	BIRTHDAY	LIFE_STAGE	ADOPTED	ADOPTION_DATE	STATUS	STATUS_REASON	TIME_CREATED	TIME_UPDATED	WEIGHT	ALLERGY_COUNT	PHOTO_COUNT	PET_BREED_ID	PET_TYPE_ID	PET_NEW	FIRST_BIRTHDAY
73383297	3391	Halea	Cat	Other		UNKN		UNK					Active		2020-12-02 05:39:10.665	2020-12-02 05:39:22.533	0	0	0	740	2	false	
104881770	3391	Jackson	Dog	Labrador Retriever	L	MALE		L					Active		2022-11-20 08:14:00.160	2022-11-20 08:14:00.160		0	0	461	1	false	
107215348	3391	Harley	Dog	Mixed / Unknown		UNKN		UNK					Active		2023-01-22 07:17:07.081	2023-01-22 07:17:07.081		0	0	586	1	false	
131658666	3423	Coco	Dog	Mixed / Unknown		FMLE		SM	2021-07-15	A	false		Active		2024-10-28 11:55:48.299	2024-11-25 11:56:19.983	13	0	0	586	1	false	2022-07-15
115656427	3451	Macy Strong	Dog	Mixed / Unknown		UNKN		UNK			false		Active		2023-08-28 13:40:25.558	2023-08-28 13:40:25.558		0	0	586	1	false	
95687237	3451	Mr. Jones Strong	Cat	Other		MALE		UNK	2009-07-11	S	true	2009-09-09	Active		2022-04-11 06:43:32.826	2023-06-20 09:55:54.321	10	0	0	740	2	false	2010-07-11
100280142	3451	Macy	Dog	Golden Retriever	L	FMLE		M	2022-03-30	A	true	2022-05-29	Active		2022-07-20 12:44:12.922	2023-05-12 04:55:02.776	50	0	0	439	1	false	2023-03-30
125674177	3731	Balto	Dog	Mixed / Unknown		UNKN		UNK			false		Active		2024-05-31 13:06:38.814	2024-05-31 13:06:38.814		0	0	586	1	false	
103093134	3731	Tuna	Cat	Other		UNKN		G			false		Active		2022-10-02 07:52:55.935	2022-10-02 07:52:55.935		0	0	740	2	false	
97364863	3731	Marvel	Horse	Paso Fino		FMLE		G	2019-02-16		true	2019-02-16	Active		2022-05-16 16:40:37.130	2022-05-16 16:40:37.130	950	0	0	994	7	false	2020-02-16
82304049	3776	Ringo	Dog	Goldendoodle	SM	MALE		L	2020-08-15	P	false		Active		2021-05-29 04:36:17.901	2022-08-31 06:24:37.606	74	0	0	440	1	false	2021-08-15
134389236	3867	Faye	Horse	Arabian		FMLE		UNK	2002-04-01		false		Active		2025-01-03 07:51:17.937	2025-01-03 07:51:17.937	800	0	0	708	7	false	2003-04-01
72831715	4127	chloe	Cat	Other		FMLE		UNK	2007-01-01	S	false		Active		2020-11-24 07:24:48.837	2021-06-16 03:22:42.373	20	0	0	740	2	false	2008-01-01
72831783	4127	glory	Horse	Arabian		FMLE		UNK	2001-04-11		false		Active		2020-11-24 07:26:09.166	2021-06-16 03:22:35.307	900	0	0	708	7	false	2002-04-11
72831544	4127	chessy	Cat	Himalayan		MALE		UNK	2006-06-20	S	false		Active		2020-11-24 07:21:50.029	2021-06-16 03:22:28.342	7	0	0	609	2	false	2007-06-20
72831620	4127	Bubba	Cat	Exotic		MALE		UNK	2009-05-09	A	false		Active		2020-11-24 07:23:07.856	2021-06-16 03:22:52.963	25	0	0	607	2	false	2010-05-09
869850	4318	Ramona	Cat	UNKNOWN	UNK	UNKN							Active		2018-07-29 14:49:43.705	2018-07-29 14:49:43.705	0	0	0	-1	2	false	
65815109	4373	Jackson Ford Jensen	Dog	Golden Retriever	L	MALE		L	2008-07-15	S	true	2020-03-06	Inactive	Deceased	2020-07-15 05:30:05.699	2021-06-16 04:36:10.601	81	0	0	439	1	false	2009-07-15
80915635	4373	Kennedy Louise	Dog	Mixed / Unknown		FMLE		L	2012-03-20	S	true	2021-03-15	Active		2021-04-27 20:59:11.888	2024-07-22 18:48:31.869	58	0	2	586	1	false	2013-03-20
63162858	4373	Bindi Sue	Dog	Labrador Retriever	L	FMLE		L	2014-07-12	S	true	2020-01-25	Active		2020-06-02 00:30:38.867	2024-09-12 13:19:58.845	55	0	2	461	1	false	2015-07-12
47783933	4373	Claytonk	Dog	UNKNOWN	UNK	UNKN		L					Deleted		2019-09-13 00:26:17.937	2019-09-27 08:41:51.481		0	0	-1	1	false	
5176945	4373	Ranger 	Dog	Mixed / Unknown		MALE		L	2008-04-23	S	false		Inactive	Deceased	2019-04-23 08:42:19.840	2025-03-27 08:53:18.298	65	0	1	586	1	false	2009-04-23
37836841	4373	Reid	Dog	Labrador Retriever	L	MALE		XL	2019-03-08	P	false		Inactive	Deceased	2019-05-23 05:38:46.387	2021-06-16 04:36:10.601	82	0	0	461	1	false	2020-03-08
37801929	4373	Ginger	Dog	UNKNOWN	UNK	UNKN		L					Deleted	Other	2019-05-21 14:12:51.197	2020-07-02 04:50:25.555		0	0	-1	1	false	
37836824	4373	Chloe	Dog	UNKNOWN	UNK	UNKN		L					Deleted	Other	2019-05-23 05:38:12.385	2020-07-02 04:51:04.733		0	0	-1	1	false	
48478512	4373	Guster	Dog	UNKNOWN	UNK	UNKN		UNK					Deleted		2019-09-27 08:44:26.199	2020-09-24 02:50:57.981		0	0	-1	1	false	
5177036	4373	Sally Jane 	Dog	UNKNOWN	UNK	UNKN		L					Deleted	Other	2019-04-23 08:46:52.616	2020-07-02 04:49:51.984		0	0	-1	1	false	
47783983	4373	Clayton	Dog	UNKNOWN	UNK	UNKN		L					Deleted		2019-09-13 00:27:54.730	2019-09-27 08:41:22.230		0	0	-1	1	false	
137552638	4373	Parker	Dog	Mixed / Unknown		MALE		L	2016-02-23	S	false		Active		2025-03-24 12:03:53.581	2025-03-24 12:03:53.581	58	0	0	586	1	false	2017-02-23
132160597	4373	Elsbeth	Dog	Golden Retriever	L	FMLE		L	2023-05-13		false		Active		2024-11-10 03:03:38.890	2024-11-10 03:03:38.890		0	0	439	1	false	2024-05-13
63162951	4373	Maggie Lynn	Dog	Golden Retriever	L	FMLE		L	2015-06-12	S	true	2020-01-29	Active		2020-06-02 00:32:51.467	2025-03-24 12:24:51.980	59	0	2	439	1	false	2016-06-12
115507072	4373	Lilo	Cat	Other		UNKN		UNK			false		Active		2023-08-23 19:05:19.461	2023-08-23 19:05:19.461		0	0	740	2	false	
85588212	4373	Seska Jane	Dog	Labrador Retriever	L	FMLE		L	2011-06-20	S	true	2021-05-25	Inactive	Deceased	2021-08-10 08:36:37.145	2024-07-22 18:49:19.086	59	0	1	461	1	false	2012-06-20
85588366	4373	Bernadette Rose	Dog	Labrador Retriever	L	FMLE		XL	2011-06-20	S	true	2021-06-05	Inactive	Deceased	2021-08-10 08:39:09.701	2024-07-12 11:52:37.039	77	0	1	461	1	false	2012-06-20
1931460	4420	Boston	Dog	Mixed / Unknown		MALE		XS	2008-03-03	S	false		Active		2018-09-30 15:22:10.531	2025-04-29 06:37:04.690	10	0	3	586	1	false	2009-03-03
1931480	4420	Layla	Dog	Mixed / Unknown		FMLE		SM	2012-01-01	S	false		Inactive	Deceased	2018-09-30 15:24:27.658	2024-03-04 18:17:23.320	16	0	2	586	1	false	2013-01-01
123236780	4420	Elvis	Dog	Goldendoodle	SM	MALE		L	2022-07-25	A	true	2024-02-29	Active		2024-03-25 21:54:58.405	2025-04-08 18:00:07.821	52	0	2	440	1	false	2023-07-25
81749923	4420	Charlie	Cat	Other		MALE		UNK	2001-04-01	S	false		Inactive	Deceased	2021-05-16 08:48:54.159	2024-03-04 18:16:15.908	6	0	2	740	2	false	2002-04-01
81750800	4420	Lucy	Cat	Other		FMLE		UNK	2016-08-01	A	false		Active		2021-05-16 09:08:20.819	2024-09-26 14:40:15.354	13	0	3	740	2	false	2017-08-01
58023661	4459	Chloe	Dog	Cavalier King Charles Spaniel	SM	FMLE		SM	2012-07-15	S	false		Active		2020-03-23 05:57:40.270	2024-09-05 06:23:09.412	13	0	0	397	1	false	2013-07-15
107182957	4524	Harry	Dog	Mixed / Unknown		UNKN		UNK			false		Active		2023-01-21 07:16:55.094	2023-01-21 07:16:55.094		0	0	586	1	false	
141024241	4528	Sammy	Cat	Other		UNKN		UNK			false		Active		2025-06-20 05:31:48.897	2025-06-20 05:31:48.897		0	0	740	2	false	
141024238	4528	Rufus	Cat	Other		UNKN		UNK			false		Active		2025-06-20 05:31:40.121	2025-06-20 05:31:40.121		0	0	740	2	false	
87871670	4528	Jasper	Dog	Mixed / Unknown		UNKN		SM			false		Deleted	Deceased	2021-10-04 08:20:53.977	2024-11-08 11:10:41.487	25	0	0	586	1	false	
87871682	4528	Ruffus	Dog	Mixed / Unknown		UNKN		UNK			false		Active		2021-10-04 08:21:15.358	2021-10-04 08:21:15.358	25	0	0	586	1	false	
69220500	4650	Minka II	Cat	Other		MALE			2019-11-12	K	true	2020-03-01	Active		2020-09-12 10:35:05.549	2020-09-12 10:35:05.549	0	0	0	740	2	false	2020-11-12
82978767	4763	Rosco	Dog	Mixed / Unknown		MALE		M	2020-12-04		false		Active		2021-06-13 06:54:21.998	2021-06-13 06:54:21.998	40	0	0	586	1	false	2021-12-04
1586210	5114	Sir Pounce a Lot	Cat	Other		MALE		UNK	2013-09-08	A	true	2014-06-01	Active		2018-09-08 15:23:24.711	2024-10-09 07:19:18.302	8	0	0	740	2	false	2014-09-08
1586202	5114	Target	Cat	Other		MALE			2007-09-08	A	true	2010-08-01	Active		2018-09-08 15:22:28.598	2021-06-15 17:36:11.228	15	0	0	740	2	false	2008-09-08
1586190	5114	Ruby Rue	Dog	Cavalier King Charles Spaniel	SM	FMLE		SM	2011-01-01	A			Active		2018-09-08 15:21:19.914	2021-06-15 17:39:24.256	18	0	0	397	1	false	2012-01-01
1586248	5114	Lady Lyra	Cat	Other		FMLE			2018-05-05	K			Active		2018-09-08 15:26:39.735	2021-06-15 17:38:18.898	3	0	0	740	2	false	2019-05-05
